Position,product_name,price,rating,review
67,SASSAFRAS Women Black Straight Fit High-Rise Stretchable Cargo Jeans,Rs. 827,4.4,2.2k
68,Levis Women 711 Skinny Fit Light Fade Stretchable Mid-Rise Jeans,Rs. 1449,4.3,245
69,StyleCast Women Blue Relaxed Fit Flared Mid-Rise Clean Look Light Fade Jeans,Rs. 1349,3.9,678
70,Levis Women 724 Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 1449,4.2,893
71,H&M Women Slim Mom High Ankle Jeans,,4.5,30
72,MANGO Relaxed Fit High-Rise Jeans,Rs. 2333,4.3,83
73,The Roadster Life Co. Women Wide Leg High-Rise Stretchable Jeans,Rs. 637,4.1,232
74,Flying Machine Women Wide Leg High-Rise Low Distress Stretchable Jeans,Rs. 1281,4.2,10.9k
75,SASSAFRAS Women Blue Straight Fit High-Rise Stretchable Jeans,Rs. 919,4.3,23
76,Miss Chase Women Black Skinny Fit High-Rise Clean Look Jeans,Rs. 818,4.1,2
77,MANGO Women Sustainable Pure Cotton Wide Leg High-Rise Jeans,Rs. 1795,3.7,3.5k
78,SASSAFRAS BASICS Women Anti Relaxed Fit Stretchable Jeans,Rs. 699,4,321
79,Miss Chase Women Black Wide Leg High-Rise Stretchable Jeans,Rs. 984,4.4,678
80,Levis Women High Rise 80's New Mom Relaxed Tapered Fit Light Fade Stretchable Jeans,Rs. 2399,4.8,536
81,DOLCE CRUDO Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 839,4.2,554
82,The Roadster Life Co.  Women Wide Leg High-Rise Stretchable Jeans,Rs. 747,3.7,1.7k
83,SASSAFRAS Women Black Straight Fit High Rise Clean Look Stretchable Cargo Jeans,Rs. 919,4.2,1.3k
84,Chemistry Women Flared Light Fade Stretchable Jeans,Rs. 1333,4.2,31
85,KETCH Women Skinny Fit Clean Look Stretchable Jeans,Rs. 649,4,2
86,MANGO Women Grey Straight Fit High-Rise Light Fade Cropped Jeans,Rs. 1495,4.1,443
87,Levis Women 725 Bootcut High Rise Heavy Fade Stretchable Jeans,Rs. 3279,4.4,23
88,Stylecast X Kotty Women Straight Fit High-Rise Stretchable Flap Pocket Cargo Jeans,Rs. 1049,4.3,1.2k
89,SASSAFRAS Women Navy Blue Straight Fit High-Rise Slash Knee Stretchable Jeans,Rs. 719,4.1,2k
90,Levis Women 314 Straight Fit Mid Rise Light Fade Stretchable Jeans,Rs. 1799,4.4,331
91,Miss Chase Women Bootcut High-Rise Clean Look Light Fade Stretchable Jeans,Rs. 1258,4.1,445
92,Marks & Spencer Women Wide Leg High-Rise Clean Look Stretchable Jeans,Rs. 1199,,235
93,Basics By Tokyo Talkies Women Flared Light Fade Stretchable Jeans,Rs. 659,4.3,235
94,ONLY Women Straight Fit High-Rise Pure Cotton Jeans,Rs. 1849,4.1,3.2k
95,Levis Women Bootcut High-Rise Low Distress Heavy Fade Pure Cotton Jeans,Rs. 3654,4.2,32
96,Levis Women Pure Cotton High Rise Wide Leg Mildly Distressed Heavy Fade Jeans,Rs. 1899,4.5,43
97,Roadster Women Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 758,3.9,133
98,IVOC Women Regular Fit cargo trouser,Rs. 1399,4.3,4.1k
99,Kotty Women Blue Jean Stretchable Jeans,Rs. 599,3.2,234
100,Levis Women High-Rise Baggy Light Fade Jeans,Rs. 3484,3.9,334
