Position,Product Name,Rating Count,Discount,Original Price,Discounted Price,Free Delivery,Review Count,Stock Status,Image 1,Image 2,Image 3,Image 4
50,Regular Women Blue Jeans,-14,50% off,"1,599",₹784,Free delivery,,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/x/1/a/32-shop-st-db-perfect-fashion-original-imagp3f6vvmcepgx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/2/s/30-shopsy-2cut-stone-lb-nucouths-original-imahyg86hhhwvhdd.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kvfkivk0hlty2aw/jean/a/l/8/-original-imag8e5v2vzgyspa.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l3khsi80/shopsy-jean/e/g/y/28-jm-2-cut-light-jogger-jm-jakmy-fashion-original-imagenu5wjmsrxyw.jpeg?q=60
51,Jogger Fit Women Dark Blue Jeans,-88,64% off,"1,299",₹456,Free delivery,-169,Lowest price since launch,https://rukminim2.flixcart.com/image/440/593/kdga1zk0/jean/w/a/r/28-dark-jogger-trendydoll-original-imafucywvkdjj3nh.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/4/f/x/28-zjw495-zaristaa-original-imagw4rbpbhdkga6.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kzegk280/jean/b/0/g/32-jean-1439-bta-nifty-original-imagbf66nf4vbz5h.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l432ikw0/shopsy-jean/t/r/g/28-light-star-mhr-fashion-original-imagffgxbjv9fkpa.jpeg?q=60
52,Flared Women Multicolor Jeans,,67% off,"1,899",₹625,Free delivery,-15,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/y/a/6/34-ktt2pcladiesjeansset06-kotty-original-imaghhunyhaygrvx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/c/n/p/28-straight-jeans-sky-perfect-fashion-original-imaggrefaapcygbn.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l4a7pu80/shopsy-jean/c/2/e/26-bell-bottom-jeans-parasnath-original-imagf7jcbhgqpsck.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/c/9/r/32-grey-6-pkt-cnu-jeans-32-size-aj-collection-original-imagucgqf4pfzgya.jpeg?q=60
53,Jogger Fit Women Light Blue Jeans,-100,74% off,"1,499",₹384,Free delivery,-6,Only 4 left,https://rukminim2.flixcart.com/image/440/593/kfpq5jk0-0/jean/e/2/3/26-mst-786-mstrendy-original-imafw3auz3qsgk6y.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/v/5/j/26-shopsy-black-white-cargo-jean-001-tipkoo-original-imahy2uyksgubzuk.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/m/n/y/34-kttladiesjeans1186-kotty-original-imagtzxhygrjabzq.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/k/q/28-one-button-black-pant-neha-fashion-original-imagkyxrrzkuxguf.jpeg?q=60
54,Jogger Fit Women Blue Jeans,-19,7% off,299,₹277,Free delivery,-543,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/y/j/g/32-zarish-womn-jns-blu-zarish-fashion-original-imaghzgyuvtxhngh.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kf2v3ww0-0/jean/l/d/k/34-lyu-colour-cargo-grn-jns-lyublyu-original-imafvmfvgg7dpfvm.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/u/i/b/30-wd-black-d-nucouths-original-imahfyskteevzx6f.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/r/n/u/30-5-buttonjeans-namostu-original-imagxa3fyk7fgn5f.jpeg?q=60
55,Boot-Leg Women Black Jeans,-171,61% off,999,₹384,Free delivery,,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/w/l/s/26-women-black-solid-jeans-sidha-apparels-original-imagt6ypevdksgh9.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/w/f/n/32-girls-stylish-jeans-regular-aadimart-original-imahfymfjkrrxv64.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/jy65j0w0/jean/k/q/g/30-skinnyjeansblack-malachi-original-imafhe5vwzkkdb4k.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/g/e/l/30-girls-stylish-jeans-regular-aadimart-original-imahfymfcvhc7ghh.jpeg?q=60
56,Boyfriend Women Grey Jeans,-11,73% off,"1,398",₹366,Free delivery,-163,Only few left,https://rukminim2.flixcart.com/image/440/593/kvfkivk0hlty2aw/jean/a/l/8/-original-imag8e5v2vzgyspa.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k1jlyfk0/jean/z/y/6/28-209-3-28-raiter-original-imafkvkz5h9ceppg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/d/q/r/24-star-neha-fashion-original-imaggdy8thfuc4fu.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/a/u/d/30-women-3-button-skinny-high-rise-jeans-aadicare-original-imagqybqh36cawrn.jpeg?q=60
57,Jogger Fit Women Black Jeans,-11,78% off,"1,999",₹430,Free delivery,-44,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/w/e/r/28-352-baggy-wbk-p-08-flarex-original-imahf4qfqzuq4znx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/p/u/p/28-sh-g-303-velvetvinelooks-original-imagw96xxetnbjtp.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/5/h/e/30-shopsy-wd-ice-7z-nucouths-original-imahyqe4w5gvngkq.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/i/t/6/26-fk-j1bst-sky-perfect-fashion-original-imagrwhygzzhh7sk.jpeg?q=60
58,Boyfriend Women Grey Jeans,-14,76% off,"1,999",₹474,Free delivery,-81,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/b/a/j/28-sh-new-6p-carg-clothin-by-nakshatra-group-original-imahfy2hapnanjew.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/u/c/s/32-sh-g-303-velvetvinelooks-original-imagw96xygubfmkf.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/x/1/f/32-200-hard-aadvi-fashion-original-imagzybgsvrgbcgk.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/k/e/7/26-wj-bk-kc-5-mevan-original-imagqmuuhvxjvt4m.jpeg?q=60
59,Women Blue Jeans,-3,,-3,,,-3,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/1/3/m/26-wd-stone-6z-nucouths-original-imahyqe4wr6ajcwe.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/q/t/i/30-shopsy-wd-black-prem-q1-nucouths-original-imahyg85cuhzcnhf.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/f/a/e/32-zjw495-zaristaa-original-imagw4rb3cgxtgbm.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/s/w/f/26-kttladiesjeans1163-kotty-original-imagrer8hrbvgrpj.jpeg?q=60
60,Women Black Jeans,-221,61% off,999,₹384,Free delivery,-12,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/r/p/8/26-tek-0786-tektarwi-original-imagz9dtguf7xhag.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-cargo/j/y/m/26-six-pocket-cargo-stylokat-girls-original-imagnu3nckdmgqrw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/p/g/q/30-women6pocket-zaristaa-original-imagyamzhjwrzn7e.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kqttg280/jean/l/f/a/32-kd-pln-drk-jogger-king-denim-original-imag4quywetgnegt.jpeg?q=60
61,Boot-Leg Women Grey Jeans,-435,,-5,,,-5,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/3/o/y/30-8-arhamfashionwr-original-imagy6fauhzcedpa.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/y/c/z/30-women-cargo-sidha-apparels-original-imagw2s8whdgc3xz.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/u/t/w/32-women6pocket-zaristaa-original-imagyamztjhzjzdw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/u/t/w/32-women6pocket-zaristaa-original-imagyamztjhzjzdw.jpeg?q=60
62,Women Black Jeans,-29,75% off,"1,799",₹441,Free delivery,-47,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/o/q/d/28-jeans-001-tektarwi-original-imagymrf2tujex5x.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/a/d/30-black-straight-shrutika-original-imagszfgsbaw4jye.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kw3v0cw0/jean/3/w/r/32-7584-black-pearls-collection-original-imag8v3chwhvqpbv.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/o/q/d/28-jeans-001-tektarwi-original-imagymrf2tujex5x.jpeg?q=60
63,Skinny Women Dark Blue Jeans,-62,,-39,,,-39,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/d/8/l/26-women-black-jeans-finz-air-original-imagt5cnszhggqu3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/s/u/x/26-j-60-lee-tex-original-imagnycsxwgmqawu.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/x/k/q/34-kottyladiesjeans823-kotty-original-imagu6tkzyp3bej2.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/t/g/k/28-women-flared-jeans-sidha-apparels-original-imagwa8yqafbzqaz.jpeg?q=60
64,Regular Women Blue Jeans,-9,71% off,999,₹284,Free delivery,-89,,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/o/1/u/28-kttladiesjeans854-kotty-original-imags7tess6zjqjx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kl2mljk0/jean/1/6/4/28-rt-light-blue-plain-1567-trends-club-original-imagy9uhqshfffzs.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-track-pant/h/y/i/32-af-dhol-wash-23-areal-fashion-original-imag8z8ecyhxeumk-bb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/8/j/n/30-kttladiesjeans1118-kotty-original-imagzj7hmyvjjjry.jpeg?q=60
65,Skinny Women Light Blue Jeans,-85,71% off,"1,199",₹345,Free delivery,-51,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/4/0/32-1b-lb-j-p1-32-sh-skiiestreet-original-imagjpzhhhvyvpv3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/4/0/32-1b-lb-j-p1-32-sh-skiiestreet-original-imagjpzhhhvyvpv3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/c/x/z/30-6000-trendylooks-original-imagsrq8dkdnysq6.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k7jdg280/jean/b/a/r/28-wj-t-30-ansh-fashion-wear-original-imafprev8cyvzyyp.jpeg?q=60
66,Regular Women Light Blue Jeans,-3,63% off,999,₹369,Free delivery,-38,,https://rukminim2.flixcart.com/image/440/593/klqx30w0/jean/l/c/y/28-kttladiesjeans823-kotty-original-imagyt4k6knhgfvr.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/j/v/l/30-women-black-jeans-finz-air-original-imagt5cnhupgk38e.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/d/b/m/34-lwdp100cdp-linaria-original-imagmudhvqux23aw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/d/b/m/34-lwdp100cdp-linaria-original-imagmudhvqux23aw.jpeg?q=60
67,Boyfriend Women Light Blue Jeans,-9,71% off,999,₹283,Free delivery,-11,,https://rukminim2.flixcart.com/image/440/593/l4yi7bk0/shopsy-jean/0/i/l/30-shopsy-1sky-st-30-perfect-fashion-original-imagfqwyb3jjsunb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/p/2/b/26-jeans-for-3-button-black-color-for-woman-and-girls-finz-air-original-imagtvdvpy6nzres.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/n/v/0/32-kottyladiesjeans1060-kotty-original-imagr5w8ncd9kjey.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k6xxua80/jean/s/a/7/32-1-button-highrise-black-tyffyn-original-imafpanyfbbmvkhg.jpeg?q=60
68,Women Black Jeans,-13,75% off,999,₹247,Free delivery,-738,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/v/j/u/26-jeans-001-tektarwi-original-imagymrfprsy3tfw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l01blow0/jean/m/9/m/30-k102c-blue-kinza-fashion-original-imagbx7kfbzxzrsn.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/7/1/u/30-5-yunusfashion-original-imagwypdygcqbrwu.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/d/b/m/34-lwdp100cdp-linaria-original-imagmudhvqux23aw.jpeg?q=60
69,Women Light Blue Jeans,-55,75% off,"1,999",₹484,Free delivery,-11,,https://rukminim2.flixcart.com/image/440/593/l4yi7bk0/shopsy-jean/0/i/l/30-shopsy-1sky-st-30-perfect-fashion-original-imagfqwyb3jjsunb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kwwfte80/jean/u/d/h/30-kttladiesjeans877-kotty-original-imag9hftsqgr5t6g.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/p/u/8/34-st8-drewin-original-imagsgvt3u9mawu3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/x/s/u/28-101-trafficjam-original-imahfy76gvuhchqs.jpeg?q=60
70,Skinny Women Black Jeans,-63,53% off,799,₹375,Free delivery,-187,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/c/z/6/30-women-black-jeans-finz-air-original-imagt5ceqypfpyf9.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kx0q4y80/jean/t/a/n/14-15-years-jeans-combo-dear-youth-sahouse-enterprises-original-imag9ksgaafwjx9z.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/x/m/34-pa2061-mahi-trendz-original-imahysg7bffsuyqq.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/2/2/w/28-kottyladiesjeans1086-kotty-original-imagmme72wfysz8r.jpeg?q=60
71,Women Grey Jeans,-14,,-3,,,-3,,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/c/9/r/32-grey-6-pkt-cnu-jeans-32-size-aj-collection-original-imagucgqf4pfzgya.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/f/q/v/28-2-masgarments-original-imahfzhwbgpgp5hz.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/f/v/d/14-15-years-light-dark-belt-combo-zodio-original-imagghtzffzbqvyb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kgjqefk0-0/jean/d/d/o/26-rt-light-blue-plain-lower-rough-look-jogger-1567-rafflesia-original-imafwrm9mzytarzj.jpeg?q=60
72,Boyfriend Women Blue Jeans,-19,67% off,"1,499",₹484,Free delivery,-26,,https://rukminim2.flixcart.com/image/440/593/kx3l0nk0hlty2aw/jean/n/l/t/-original-imag9tb29gzdgpfg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/2/o/m/38-shopsy-1bsdj-bata-perfect-fashion-original-imagcj2hzbkhzxzt.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l5bd5zk0/shopsy-jean/v/b/y/32-jeans-new-flat-mercel-original-imaggyemjakbbcfs.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/v/d/p/34-189-light-blue-aadvi-fashion-original-imagz5fnhhacdwbm.jpeg?q=60
73,Boyfriend Women Black Jeans,-22,46% off,899,₹477,Free delivery,,,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/x/t/y/30-189-black-aadvi-fashion-original-imagz5fhpr3fbbg3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/s/n/u/28-maa-2058-s-bas-udhatikraman-original-imaghnynwzyjhvka.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/krz97rk0/jean/w/t/e/28-5-btn-2121-miss-crazy-original-imag5nhz4fhtsspq.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kuzuoi80/shopsy-jean/t/w/k/32-dhol-wash-denim-jogger-for-women-kashafbebo-original-imag7zp9zzgmtvw5.jpeg?q=60
74,Jogger Fit Women Blue Jeans,-299,74% off,"1,499",₹384,Free delivery,,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/o/a/m/30-6-pocket-dhowl-wash-jogger-sidha-apparels-original-imagnb66crgce7jg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/h/i/s/34-4-button-plazo-dx3-a-flash-original-imahfqyrtf2hey92.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kqttg280/trouser/b/v/8/30-6206-bhatla-enterprise-original-imag4qhkuxmmcyjs.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l55nekw0/shopsy-jean/d/z/6/30-fs-jgr-5-buyuniquefashion-original-imagfwmq658kjypw.jpeg?q=60
75,Flared Women Black Jeans,-3,69% off,"1,199",₹369,Free delivery,-173,,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/i/7/j/30-kttladiesjeans1003-kotty-original-imaggbnfsf45yhgg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kq18n0w0/jean/j/p/v/32-070-5-butt-72-o-mine-original-imag44uwh5q59bgr.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/b/z/1/26-wj-bk-pl-14-linaria-original-imagrfjct8g5kv6k.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/3/1/u/28-hwj-102dsky28-hiker-s-way-original-imagtd7ym8mxyfcg.jpeg?q=60
76,Slim Women Black Jeans,,68% off,"1,199",₹375,Free delivery,-77,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/c/e/c/32-wj-bk-pl-13-linaria-original-imagreth3mfhrfwy.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/4/0/32-1b-lb-j-p1-32-sh-skiiestreet-original-imagjpzhhhvyvpv3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/ks0onm80/jean/o/e/k/32-fbt-2110-flying-girls-original-imag5zpurdnfbzmr.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/ks0onm80/jean/z/k/h/26-fbt-2110-flying-girls-original-imag5zpu5t4qhzyz.jpeg?q=60
77,Boot-Leg Women Light Blue Jeans,-435,66% off,"1,299",₹429,Free delivery,-7,,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/c/r/k/32-women6pocket-zaristaa-original-imagyamz2r7hwes6.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/h/o/c/26-laces-jeans-neha-fashion-original-imagy3ujgbrghtzb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k1jlyfk0/jean/v/v/4/38-209-1-38-raiter-original-imafkvkzf85nujyn.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/klphn680/jean/m/w/8/30-kttladiesjeans817-kotty-original-imagys5jwzf3fczp.jpeg?q=60
78,Women Black Jeans,-70,70% off,949,₹277,Free delivery,-22,,https://rukminim2.flixcart.com/image/440/593/kvpklu80/shopsy-jean/w/w/9/32-1141-black-osmos-original-imag8jsywwqrtdkz.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/x/o/14-15-years-moti-plazo-zodio-original-imagjbgw5fyxqymv.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l4oi4cw0/shopsy-jean/u/t/g/30-tek-145-tektarwi-original-imagfgwbhffhsqvj.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kws5hu80/jean/l/f/u/28-z324blue-28-m-moddy-original-imag9du5erxjnhug.jpeg?q=60
79,Women Light Blue Jeans,-24,65% off,999,₹340,Free delivery,-11,,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/h/3/x/32-ice-blue-6-pkt-cnu-jeans-32-size-aj-collection-original-imagu4hgfyywh29z.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/5/g/r/30-2btn-blue-30-sh-skiiestreet-original-imagg4hbgtshzfsd.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/x/1/v/34-kttladiesjeans1049-kotty-original-imagg47mth2ud3g5.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/r/x/24-trendydoll-0786-trendydoll-original-imaggzyyu9gvxqgx.jpeg?q=60
80,Women Light Blue Jeans,-15,67% off,"1,499",₹484,Free delivery,-14,,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/h/3/x/32-ice-blue-6-pkt-cnu-jeans-32-size-aj-collection-original-imagu4hgfyywh29z.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/x/1/a/32-shop-st-db-perfect-fashion-original-imagp3f6vvmcepgx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/2/s/30-shopsy-2cut-stone-lb-nucouths-original-imahyg86hhhwvhdd.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kvfkivk0hlty2aw/jean/a/l/8/-original-imag8e5v2vzgyspa.jpeg?q=60
81,Regular Women Blue Jeans,-44,74% off,999,₹255,Free delivery,-88,Lowest Price in 30 days,https://rukminim2.flixcart.com/image/440/593/l3khsi80/shopsy-jean/e/g/y/28-jm-2-cut-light-jogger-jm-jakmy-fashion-original-imagenu5wjmsrxyw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kdga1zk0/jean/w/a/r/28-dark-jogger-trendydoll-original-imafucywvkdjj3nh.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/4/f/x/28-zjw495-zaristaa-original-imagw4rbpbhdkga6.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kzegk280/jean/b/0/g/32-jean-1439-bta-nifty-original-imagbf66nf4vbz5h.jpeg?q=60
82,Women Blue Jeans,-124,75% off,"2,999",₹734,Free delivery,,,https://rukminim2.flixcart.com/image/440/593/l432ikw0/shopsy-jean/t/r/g/28-light-star-mhr-fashion-original-imagffgxbjv9fkpa.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/y/a/6/34-ktt2pcladiesjeansset06-kotty-original-imaghhunyhaygrvx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/c/n/p/28-straight-jeans-sky-perfect-fashion-original-imaggrefaapcygbn.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l4a7pu80/shopsy-jean/c/2/e/26-bell-bottom-jeans-parasnath-original-imagf7jcbhgqpsck.jpeg?q=60
83,Women Grey Jeans,-10,65% off,799,₹272,Free delivery,-100,,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/c/9/r/32-grey-6-pkt-cnu-jeans-32-size-aj-collection-original-imagucgqf4pfzgya.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kfpq5jk0-0/jean/e/2/3/26-mst-786-mstrendy-original-imafw3auz3qsgk6y.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/v/5/j/26-shopsy-black-white-cargo-jean-001-tipkoo-original-imahy2uyksgubzuk.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/m/n/y/34-kttladiesjeans1186-kotty-original-imagtzxhygrjabzq.jpeg?q=60
84,Women Blue Jeans,-347,7% off,299,₹277,Free delivery,-543,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/k/q/28-one-button-black-pant-neha-fashion-original-imagkyxrrzkuxguf.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kf2v3ww0-0/jean/l/d/k/34-lyu-colour-cargo-grn-jns-lyublyu-original-imafvmfvgg7dpfvm.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/y/j/g/32-zarish-womn-jns-blu-zarish-fashion-original-imaghzgyuvtxhngh.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/u/i/b/30-wd-black-d-nucouths-original-imahfyskteevzx6f.jpeg?q=60
85,Women Dark Blue Jeans,,66% off,"1,099",₹364,Free delivery,-6,,https://rukminim2.flixcart.com/image/440/593/kqttg280/jean/l/f/a/32-kd-pln-drk-jogger-king-denim-original-imag4quywetgnegt.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/r/n/u/30-5-buttonjeans-namostu-original-imagxa3fyk7fgn5f.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/w/l/s/26-women-black-solid-jeans-sidha-apparels-original-imagt6ypevdksgh9.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/w/f/n/32-girls-stylish-jeans-regular-aadimart-original-imahfymfjkrrxv64.jpeg?q=60
86,Skinny Women Black Jeans,-16,61% off,999,₹384,Free delivery,,,https://rukminim2.flixcart.com/image/440/593/jy65j0w0/jean/k/q/g/30-skinnyjeansblack-malachi-original-imafhe5vwzkkdb4k.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/g/e/l/30-girls-stylish-jeans-regular-aadimart-original-imahfymfcvhc7ghh.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k1jlyfk0/jean/z/y/6/28-209-3-28-raiter-original-imafkvkz5h9ceppg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kvfkivk0hlty2aw/jean/a/l/8/-original-imag8e5v2vzgyspa.jpeg?q=60
87,Regular Women Multicolor Jeans,-41,61% off,999,₹384,Free delivery,,,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/d/q/r/24-star-neha-fashion-original-imaggdy8thfuc4fu.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/a/u/d/30-women-3-button-skinny-high-rise-jeans-aadicare-original-imagqybqh36cawrn.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/w/e/r/28-352-baggy-wbk-p-08-flarex-original-imahf4qfqzuq4znx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/p/u/p/28-sh-g-303-velvetvinelooks-original-imagw96xxetnbjtp.jpeg?q=60
