Position,Product Name,Rating Count,Discount,Original Price,Discounted Price,Free Delivery,Review Count,Stock Status,Image 1,Image 2,Image 3,Image 4
30,Regular Women Grey Jeans,,61% off,999,₹384,Free delivery,-12,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/s/w/f/26-kttladiesjeans1163-kotty-original-imagrer8hrbvgrpj.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-cargo/j/y/m/26-six-pocket-cargo-stylokat-girls-original-imagnu3nckdmgqrw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/p/g/q/30-women6pocket-zaristaa-original-imagyamzhjwrzn7e.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kqttg280/jean/l/f/a/32-kd-pln-drk-jogger-king-denim-original-imag4quywetgnegt.jpeg?q=60
31,Jogger Fit Women Blue Jeans,-5,62% off,699,₹264,Free delivery,-253,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/3/o/y/30-8-arhamfashionwr-original-imagy6fauhzcedpa.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/y/c/z/30-women-cargo-sidha-apparels-original-imagw2s8whdgc3xz.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/u/t/w/32-women6pocket-zaristaa-original-imagyamztjhzjzdw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/cargo/u/t/w/32-women6pocket-zaristaa-original-imagyamztjhzjzdw.jpeg?q=60
32,Women Black Jeans,-29,75% off,"1,799",₹441,Free delivery,-47,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/o/q/d/28-jeans-001-tektarwi-original-imagymrf2tujex5x.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/n/a/d/30-black-straight-shrutika-original-imagszfgsbaw4jye.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kw3v0cw0/jean/3/w/r/32-7584-black-pearls-collection-original-imag8v3chwhvqpbv.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/o/q/d/28-jeans-001-tektarwi-original-imagymrf2tujex5x.jpeg?q=60
33,Regular Women Black Jeans,-39,75% off,"1,999",₹484,Free delivery,-13,Only 1 left,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/s/u/x/26-j-60-lee-tex-original-imagnycsxwgmqawu.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/x/k/q/34-kottyladiesjeans823-kotty-original-imagu6tkzyp3bej2.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k7jdg280/jean/b/a/r/28-wj-t-30-ansh-fashion-wear-original-imafprev8cyvzyyp.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kl2mljk0/jean/1/6/4/28-rt-light-blue-plain-1567-trends-club-original-imagy9uhqshfffzs.jpeg?q=60
34,Flared Women Blue Jeans,-639,83% off,"2,999",₹484,Free delivery,-9,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/t/g/k/28-women-flared-jeans-sidha-apparels-original-imagwa8yqafbzqaz.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/o/1/u/28-kttladiesjeans854-kotty-original-imags7tess6zjqjx.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-track-pant/h/y/i/32-af-dhol-wash-23-areal-fashion-original-imag8z8ecyhxeumk-bb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/8/j/n/30-kttladiesjeans1118-kotty-original-imagzj7hmyvjjjry.jpeg?q=60
35,Slim Women Black Jeans,-11,68% off,"1,199",₹378,Free delivery,-85,Lowest price in the year,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/p/2/b/26-jeans-for-3-button-black-color-for-woman-and-girls-finz-air-original-imagtvdvpy6nzres.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/4/0/32-1b-lb-j-p1-32-sh-skiiestreet-original-imagjpzhhhvyvpv3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/c/x/z/30-6000-trendylooks-original-imagsrq8dkdnysq6.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/i/4/0/32-1b-lb-j-p1-32-sh-skiiestreet-original-imagjpzhhhvyvpv3.jpeg?q=60
36,Regular Women Light Blue Jeans,-3,75% off,999,₹247,Free delivery,-738,Only few left,https://rukminim2.flixcart.com/image/440/593/klqx30w0/jean/l/c/y/28-kttladiesjeans823-kotty-original-imagyt4k6knhgfvr.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l01blow0/jean/m/9/m/30-k102c-blue-kinza-fashion-original-imagbx7kfbzxzrsn.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/j/v/l/30-women-black-jeans-finz-air-original-imagt5cnhupgk38e.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/d/b/m/34-lwdp100cdp-linaria-original-imagmudhvqux23aw.jpeg?q=60
37,Women Black Jeans,-458,54% off,"1,399",₹634,Free delivery,-9,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/d/b/m/34-lwdp100cdp-linaria-original-imagmudhvqux23aw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l4yi7bk0/shopsy-jean/0/i/l/30-shopsy-1sky-st-30-perfect-fashion-original-imagfqwyb3jjsunb.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/n/v/0/32-kottyladiesjeans1060-kotty-original-imagr5w8ncd9kjey.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/v/j/u/26-jeans-001-tektarwi-original-imagymrfprsy3tfw.jpeg?q=60
38,Jogger Fit Women Blue Jeans,-77,68% off,"1,299",₹410,Free delivery,-352,Only few left,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/7/1/u/30-5-yunusfashion-original-imagwypdygcqbrwu.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/d/b/m/34-lwdp100cdp-linaria-original-imagmudhvqux23aw.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/k6xxua80/jean/s/a/7/32-1-button-highrise-black-tyffyn-original-imafpanyfbbmvkhg.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/l4yi7bk0/shopsy-jean/0/i/l/30-shopsy-1sky-st-30-perfect-fashion-original-imagfqwyb3jjsunb.jpeg?q=60
39,Regular Women Light Blue Jeans,-11,51% off,999,₹484,Free delivery,-76,Only few left,https://rukminim2.flixcart.com/image/440/593/kwwfte80/jean/u/d/h/30-kttladiesjeans877-kotty-original-imag9hftsqgr5t6g.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/jean/p/u/8/34-st8-drewin-original-imagsgvt3u9mawu3.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/xif0q/shopsy-jean/x/s/u/28-101-trafficjam-original-imahfy76gvuhchqs.jpeg?q=60,https://rukminim2.flixcart.com/image/440/593/kx0q4y80/jean/t/a/n/14-15-years-jeans-combo-dear-youth-sahouse-enterprises-original-imag9ksgaafwjx9z.jpeg?q=60
